index,caption,
000000041343.jpg,the person in the number 2 uniform is paying attention to high-fiving his teammate number seven,
000000041377.jpg,a person in the orange jacket is paying attention to the incoming train,
000000041549.jpg,that person in the center of the screen with the glasses is paying attention to his cell phone,
000000041577.jpg,the batter in the white uniform is paying attention to a ball,
000000042584.jpg,the woman in the brown jacket with the brown boots and the gray backpack is paying attention to the child and the purple coat,
000000042698.jpg,the woman next to the lamp that is not on the screen is paying attention to the camera,
000000042860.jpg,the woman in the blue shirt and brown pants is paying attention to the kite with the red tail,
000000044138.jpg,the man in the chair is paying attention to the Apple screen in front of him,
000000044298.jpg,the woman in the green dress is paying attention to somebody else that we can't see,
000000044500.jpg,the police officer in the white shirt and blue hat is paying attention to the fire hydrant,
000000045339.jpg,the girl in the black shirt is paying attention to the frisbee,
000000045785.jpg,the dog is paying attention to the gray pole in front of him,
000000045854.jpg,the woman with the glasses and blue necklace is paying attention to the wine bottle,
000000046003.jpg,the skier is paying attention to the ground,
000000048937.jpg,the woman in the dark gray sweatshirt is paying attention to the woman in the light gray sweatshirt,
000000048971.jpg,the man in the blue shirt is paying attention to the bowling simulation on the screen,
000000049348.jpg,the man is paying attention to the surfboard and waves,
000000049643.jpg,the man on the right in the green vest is paying attention to the garbage that he's holding,
000000050323.jpg,the woman in the gray shirt with short sleeves is paying attention to the woman in the black shirt,
000000050389.jpg,the person riding the bicycle is paying attention to the road in front of them,
000000050927.jpg,the baseball player in the white uniform is paying attention to an incoming ball,
000000052870.jpg,the surfer is paying attention to the waves behind him,
000000052928.jpg,the person in the red shirt who is looking at the camera is paying attention to the camera,
000000053084.jpg,the snowboarder is paying attention to the snow,
000000054953.jpg,the cat is paying attention to nothing,
000000055107.jpg,the surfer is paying attention to the boat and water,
000000055618.jpg,the woman in the pink shirt is paying attention to her wallet,
000000056456.jpg,the person holding the frisbee is paying attention to somebody else off screen,
000000056599.jpg,the boy is paying attention to his umbrella,
000000056650.jpg,the girl in the pink shirt is paying attention to the frisbee,
000000058482.jpg,the woman playing the game is paying attention to the game,
000000058714.jpg,the person in the red uniform in front is paying attention to the baseball,
000000059358.jpg,the giraffe is paying attention to The Woman in Red,
000000060034.jpg,the pigeon on the upper part of the sidewalk is paying attention to the cameraman,
000000060046.jpg,the person is paying attention to the skateboard,
000000060496.jpg,the person is paying attention to the food on top of the stove,
000000060547.jpg,the man is paying attention to the giraffe,
000000060903.jpg,the woman is paying attention to something in the distance,
000000060980.jpg,the person is paying attention to the remotes,
000000062048.jpg,the man in the black sweatshirt is paying attention to the kite in the sky,
000000062129.jpg,the man is paying attention to the camera,
000000062446.jpg,the woman in the black shirt is paying attention to the waiter,
000000062833.jpg,the batter in the Yankees uniform is paying attention to the ball,
000000063235.jpg,the girl is paying attention to the horse and brushing the horse,
000000063325.jpg,the person is paying attention to something in their hand,
000000063691.jpg,the man with the glasses is paying attention to the computer screen,
000000063890.jpg,the surfer is paying attention to something going on with his ear,
000000064492.jpg,the woman in the green shirt is paying attention to the food on the plate,
000000065518.jpg,the kid in the red shirt and red helmet is paying attention to the ball,
000000066292.jpg,the person in the gray jacket and blue pants is paying attention to the orange kite,
000000066574.jpg,the woman in the white shirt is paying attention to the bus,
000000067715.jpg,the woman on the skis is paying attention to the boat,
000000067849.jpg,the man is paying attention to the canal,
000000068586.jpg,the snowboarder is paying attention to the mountain and the slope,"grammar - ""in"" vs 'and'"
000000069971.jpg,the man in the jersey number 32 is paying attention to the trophy,
000000070257.jpg,the woman is paying attention to the incoming tennis ball,
000000070854.jpg,person with the black jacket and blue pants is paying attention to the snowboarder,
000000071223.jpg,the skateboarder is paying attention to the ground in front of him,
000000072095.jpg,the tennis player is paying attention to his opponent,
000000072505.jpg,the woman sitting at the black table with the tan jacket and black hair is paying attention to the projector,redundancy
000000072565.jpg,the woman is paying attention to the motorcycle,
000000072793.jpg,person in the gray jacket is paying attention to the man in front of him and the horse,
000000073016.jpg,the woman on the escalator in the gray shirt is paying attention to the escalator handrail,
000000073197.jpg,the boy is paying attention to the cameraman,
000000073460.jpg,the woman in the black blazer with the red shirt is paying attention to the woman in the black blazer and white shirt,
000000074007.jpg,the woman in the pink shirt is paying attention to the elephant next to her,
000000074217.jpg,the person on the motorcycle all the way to the right is paying attention to the road in front of them,
000000075258.jpg,the person all the way to the left in the white shirt is paying attention to the pot in his hand,
000000075477.jpg,the jockey is paying attention to the ground in front of the horse,
000000076179.jpg,the baby is paying attention to the camera person,
000000076405.jpg,the skier is paying attention to the sky,
000000076746.jpg,the cameraman is paying attention to the tennis player,
000000076934.jpg,the surfer is paying attention to his surfboard and the water,
000000077072.jpg,the woman in the gray shirt is paying attention to the game that she is playing,
000000077377.jpg,the baby closer to the camera to the right is paying attention to the other baby,
000000078290.jpg,the surfer is paying attention to the wave,
000000078425.jpg,the person on the brown motorcycle with a yellow helmet is paying attention to the road in front of them,
000000078509.jpg,the person in the green shirt is paying attention to her food in front of her,
000000079873.jpg,the man is paying attention to someone else that we can't see,
000000080011.jpg,the person in the white shirt is paying attention to the door that they're opening,
000000080043.jpg,the man in the wetsuit all the way to the left is paying attention to the child in the blue wetsuit,
000000080044.jpg,the woman in the pink ruffly shirt is paying attention to the wine that she's drinking,
000000080554.jpg,the person in the brown shirt is paying attention to the screen of the game that they're playing,
000000081871.jpg,the person is paying attention to the laptop,
000000082729.jpg,the man in the gray shirt is paying attention to the pepper that he's holding,
000000082796.jpg,the person in the brown jacket is paying attention to the train,
000000082984.jpg,the child is paying attention to something off screen that we can't see,
000000083033.jpg,the man in the green shirt taking the picture is paying attention to the car in front of him,
000000083204.jpg,the person is paying attention to the players in front of him and the ball in his hand,
000000083964.jpg,the man in the white shirt is paying attention to the woman,
000000084222.jpg,the tennis player in the center with the black and white shirt is paying attention to an incoming ball,
000000084938.jpg,the child in the center with the red shirt with his arm up in the air is paying attention to the baseball,
000000086329.jpg,the child in the center with the gray jacket is paying attention to the camera person,
000000086676.jpg,the person in the orange shirt and apron is paying attention to the fire,
000000087225.jpg,the woman is paying attention to her opponent off screen,
000000087378.jpg,person standing at the front of the boat in the purple is paying attention to the other boaters,
000000088344.jpg,the person with the white cardigan and brown and orange and white scarf is paying attention to the white motorcycle,
000000088425.jpg,the person holding the white surfboard is paying attention to his feet and the water in the ground,
000000088576.jpg,the person is paying attention to whoever they're talking to on the phone,
000000088866.jpg,the man in the white shirt is paying attention to the person standing next to him,
000000089236.jpg,the surfer in the middle of the wave is paying attention to the water and the wave,
000000089579.jpg,the girl in the blue shirt is paying attention to the dog on the motorcycle,
000000089882.jpg,the person in the brown helmet is paying attention to the traffic cone to the right of him,
000000089991.jpg,the player of number 53 is paying attention to the piture number 50,
000000090914.jpg,the person is paying attention to the frisbee,
000000091041.jpg,the person in the center of the screen is paying attention to one of his opponents off screen,
000000091149.jpg,the skier is paying attention to the snow in front of him,
000000091948.jpg,the person in the white playing tennis is paying attention to the tennis ball,
000000091998.jpg,the person in brown is paying attention to the TV screen,
000000092096.jpg,the woman to the left and the brown v-neck is paying attention to the dog catching the frisbee,
000000092761.jpg,the surfer on the blue board who is falling is paying attention to the surfboard and the wave,
000000092799.jpg,the person in the blue shirt is paying attention to the cake,
000000093133.jpg,the person in the short sleeved green shirt is paying attention to the pizza in front of him with all of the green stuff on top,
000000093298.jpg,the person is paying attention to the flag in front of them,
000000093441.jpg,the person is paying attention to the ground and the skateboard,
000000094453.jpg,the person on the right on top of the horse is paying attention to the person on the left on top of the horse,
000000094459.jpg,the person is paying attention to the food in the bowl,
000000094769.jpg,the person is paying attention to the dog,
000000094975.jpg,the person is paying attention to something off screen that we can't see,
000000096223.jpg,the person to the right with the glasses and hands folded is paying attention to the person next to them with the glasses and striped shirt,
000000097078.jpg,the person with the black shirt and red pants is paying attention to the kite,
000000097613.jpg,the person in the white shirt is paying attention to the black and white dog,
000000100516.jpg,the person in the red shirt is paying attention to the tennis ball,
000000100865.jpg,the person in the white shirt is paying attention to the tennis ball,
000000101218.jpg,the person is paying attention to their own singing,
000000101252.jpg,the person is paying attention to the fishing line and fishing pole,
000000101503.jpg,the basketball player in the black uniform is paying attention to people off screen,mistake
000000102076.jpg,the woman in the black and white bathing suit is paying attention to the Frisbee and the man catching the frisbee,
000000102607.jpg,the child is paying attention to their baby doll,
000000102757.jpg,the woman in the white sweatshirt is paying attention to the computer tablet,
000000103797.jpg,the man in the gray shirt is paying attention to the camera person,
000000104337.jpg,the person in the number two Jersey all the way to the right is paying attention to the snow in front of them,
000000106001.jpg,the woman in the orange shirt is paying attention to the frisbee,
000000106352.jpg,the man behind the counter in the blue shirt with the apron all the way to the left is paying attention to the food right in front of him,
000000106788.jpg,the person is paying attention to the person that they're talking to on the phone,
000000107495.jpg,the girl is paying attention to her horse and the jumps that they're about to go over,
000000107501.jpg,the person in the glasses and the center of the screen is paying attention to the food he's eating,
000000107782.jpg,the skateboarder is paying attention to the skateboard and ramp,
000000107787.jpg,the person in the black and green jacket is paying attention to the space in front of him,
000000109076.jpg,the baseball player with the white uniform in The Dugout is paying attention to the batter,
000000109213.jpg,the person is paying attention to the water,
000000109219.jpg,the person in the white shirt in the bottom of the picture is paying attention to the book that they're reading,
000000109324.jpg,the snowboarder is paying attention to the sky and mountains and scenery in front of him,
000000109580.jpg,the person in the orange tie is paying attention to something that is on their mind,
000000109602.jpg,the person to the right is paying attention to the people in front of them in their conversation,
000000111873.jpg,the person in the camo pants and orange hood is paying attention to the snow in front of them,
000000114024.jpg,the person in the blue shirt is paying attention to the person in front of the red car with the black shirt the and gray long pants,
000000115465.jpg,the person is paying attention to the food in the microwave,
000000115854.jpg,the soccer player number 14 is paying attention to the soccer ball,
000000116268.jpg,the woman in the dark gray shirt is paying attention to the spoons,
000000117764.jpg,the kid in the blue shirt is paying attention to the game in front of him,
000000118076.jpg,the person flying the Kite in the black shirt and black pants is paying attention to the kite,
000000118431.jpg,the person in the red jacket is paying attention to the other person standing next to them in with the orange backpack,
000000119854.jpg,the child holding the bottle in the center is paying attention to the child with the white shirt,
000000120778.jpg,the woman in the red sweatshirt is paying attention to the computer screen,
000000120939.jpg,the woman is thinking about something that is on her own mind,
